name,medium,city,country,website,myafriart_profile_url,source,notes,outreach_status
Johnson Uwadinma,Painting,Abuja,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-032,curated_public_repo_wayback,Contemporary abstraction,seed
Karo Akpokiere,Drawing,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-033,curated_public_repo_wayback,Graphic and drawing practice,seed
Karo Omu,Mixed media,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-034,curated_public_repo_wayback,Collage and mixed media,seed
Kelechi Amadi-Obi,Photography,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-035,curated_public_repo_wayback,Fashion photographer,seed
Kudzanai Chiurai,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-036,curated_public_repo_wayback,Exhibited in Lagos; political themes,seed
Lerato Shadi,Installation,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-037,curated_public_repo_wayback,Performance and installation,seed
Mary Sibande,Sculpture,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-038,curated_public_repo_wayback,Exhibited in Nigeria; textile sculpture,seed
Moyosore Martins,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-039,curated_public_repo_wayback,Contemporary painter,seed
Niyi Olagunju,Sculpture,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-040,curated_public_repo_wayback,Metal and mixed media sculpture,seed
Olu Amoda,Sculpture,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-041,curated_public_repo_wayback,Metal sculpture pioneer,seed
Olu Oguibe,Installation,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-042,curated_public_repo_wayback,Conceptual artist and writer,seed
Onyeka Ibe,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-043,curated_public_repo_wayback,Contemporary figurative painter,seed
Paul Oluwole,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-044,curated_public_repo_wayback,Abstract expressionist,seed
Ruby Onyinyechi Amanze,Drawing,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-045,curated_public_repo_wayback,Drawing and paper works,seed
Samuel Onyilo,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-046,curated_public_repo_wayback,Contemporary Lagos painter,seed
Tayo Adenaike,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-047,curated_public_repo_wayback,Uli-inspired contemporary painter,seed
Temitayo Ogunbiyi,Installation,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-048,curated_public_repo_wayback,Installation and drawing,seed
Toyin Ojih Odutola,Drawing,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-049,curated_public_repo_wayback,Nigerian-American; exhibited in Lagos,seed
Uche Uzorka,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-050,curated_public_repo_wayback,Mixed media painter,seed
Ugo Nwagbogu,Curator,Lagos,Nigeria,nle.org,https://myafriartx.netlify.app/artist/ART-OUT-051,curated_public_repo_wayback,NLE Lagos founder and curator,seed
Yadichinma Ukoha-Kalu,Drawing,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-052,curated_public_repo_wayback,Line drawing and animation,seed
Zina Saro-Wiwa,Video,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-053,curated_public_repo_wayback,Video and installation artist,seed
Adejoke Tugbiyele,Sculpture,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-054,curated_public_repo_wayback,Wire and mixed media sculpture,seed
Aghogho Akpome,Painting,Warri,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-055,curated_public_repo_wayback,Delta State contemporary painter,seed
Aina Onabolu,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-056,curated_public_repo_wayback,Pioneer Nigerian modern painter,seed
Akinola Lasekan,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-057,curated_public_repo_wayback,Political cartoonist and painter,seed
Akintunde Akinleye,Photography,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-058,curated_public_repo_wayback,Reuters photographer; documentary,seed
Amarachi Okafor,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-059,curated_public_repo_wayback,Contemporary painter,seed
Chika Okeke-Agulu,Curator,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-060,curated_public_repo_wayback,Art historian and curator,seed
Chris Afuba,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-061,curated_public_repo_wayback,Contemporary abstraction,seed
Dipo Onabanjo,Photography,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-062,curated_public_repo_wayback,Street photography,seed
Eddy Kamuanga,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-063,curated_public_repo_wayback,Exhibited in Lagos galleries,seed
Emeka Okereke,Photography,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-064,curated_public_repo_wayback,Invisible Borders founder,seed
Ernest Nkwocha,Sculpture,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-065,curated_public_repo_wayback,Wood sculptor,seed
Hermann Nwali,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-066,curated_public_repo_wayback,Contemporary painter,seed
Ima Mfon,Photography,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-067,curated_public_repo_wayback,Portrait photographer,seed
Jelili Atiku,Performance,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-068,curated_public_repo_wayback,Performance artist,seed
Kainene Mama,Textile,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-069,curated_public_repo_wayback,Textile and fashion art,seed
Kelechi Nwafor,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-070,curated_public_repo_wayback,Contemporary painter,seed
Kolade Oshinowo,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-071,curated_public_repo_wayback,Watercolor and oil painter,seed
Lakin Ogunbanwo,Photography,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-072,curated_public_repo_wayback,Fashion portrait photographer,seed
Lemi Ghariokwu,Illustration,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-073,curated_public_repo_wayback,Fela album cover artist,seed
Moyo Okediji,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-074,curated_public_repo_wayback,Yoruba art scholar and painter,seed
Ndidi Emefiele,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-075,curated_public_repo_wayback,Contemporary painter,seed
Obiora Anidi,Sculpture,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-076,curated_public_repo_wayback,Metal sculptor,seed
Ola-Dele Kuku,Architecture/Art,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-077,curated_public_repo_wayback,Architect and installation,seed
Oliver Enwonwu,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-078,curated_public_repo_wayback,Ben Enwonwu Foundation director,seed
Onyeka Igwe,Film,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-079,curated_public_repo_wayback,Filmmaker and artist,seed
Otobong Nkanga,Installation,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-080,curated_public_repo_wayback,Exhibited extensively in Lagos,seed
Paul Onditi,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-081,curated_public_repo_wayback,Contemporary painter,seed
Philip Ojo,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-082,curated_public_repo_wayback,Contemporary painter,seed
Raquel van Haver,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-083,curated_public_repo_wayback,Exhibited at ART X Lagos,seed
Senzeni Marasela,Textile,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-084,curated_public_repo_wayback,Exhibited in Lagos,seed
Uche James-Iroha,Photography,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-085,curated_public_repo_wayback,Documentary photographer,seed
Zina Saro-Wiwo,Video,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-086,curated_public_repo_wayback,Video artist,seed
Chidinma Nnoli,Painting,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-087,curated_public_repo_wayback,Surreal figurative painter,seed
T. Adeyemi,Mixed media,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-088,curated_public_repo_wayback,Lagos Nocturne artist,seed
Emerging Artist 089,Mixed media,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-089,myafriart_outreach_pool,Placeholder outreach slot — replace with verified artist,pending_verification
Emerging Artist 090,Mixed media,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-090,myafriart_outreach_pool,Placeholder outreach slot — replace with verified artist,pending_verification
Emerging Artist 091,Mixed media,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-091,myafriart_outreach_pool,Placeholder outreach slot — replace with verified artist,pending_verification
Emerging Artist 092,Mixed media,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-092,myafriart_outreach_pool,Placeholder outreach slot — replace with verified artist,pending_verification
Emerging Artist 093,Mixed media,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-093,myafriart_outreach_pool,Placeholder outreach slot — replace with verified artist,pending_verification
Emerging Artist 094,Mixed media,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-094,myafriart_outreach_pool,Placeholder outreach slot — replace with verified artist,pending_verification
Emerging Artist 095,Mixed media,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-095,myafriart_outreach_pool,Placeholder outreach slot — replace with verified artist,pending_verification
Emerging Artist 096,Mixed media,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-096,myafriart_outreach_pool,Placeholder outreach slot — replace with verified artist,pending_verification
Emerging Artist 097,Mixed media,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-097,myafriart_outreach_pool,Placeholder outreach slot — replace with verified artist,pending_verification
Emerging Artist 098,Mixed media,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-098,myafriart_outreach_pool,Placeholder outreach slot — replace with verified artist,pending_verification
Emerging Artist 099,Mixed media,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-099,myafriart_outreach_pool,Placeholder outreach slot — replace with verified artist,pending_verification
Emerging Artist 100,Mixed media,Lagos,Nigeria,,https://myafriartx.netlify.app/artist/ART-OUT-100,myafriart_outreach_pool,Placeholder outreach slot — replace with verified artist,pending_verification
